id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
628;149;Spittelberg, Mariahilf;48.2014058;16.3519348;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;102;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 149
629;150;Spittelberg, Mariahilf;48.2012763;16.3519893;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;101;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 150
630;151;Spittelberg, Mariahilf;48.2011404;16.3520486;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;100;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 151
631;152;Spittelberg, Mariahilf;48.2006807;16.3521837;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;99;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 152
632;153;Spittelberg, Mariahilf;48.2006286;16.3519917;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;98;;;Leopoldigasse;Domkapitel;Leopoldigasse 153
633;154;Spittelberg, Mariahilf;48.2005654;16.351802;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;97;;;Leopoldigasse;Domkapitel;Leopoldigasse 154
634;155;Spittelberg, Mariahilf;48.2005132;16.3516077;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;96;;;Leopoldigasse;Domkapitel;Leopoldigasse 155
635;156;Spittelberg, Mariahilf;48.2004548;16.3514204;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;95;;;Leopoldigasse;Domkapitel;Leopoldigasse 156
636;157;Spittelberg, Mariahilf;48.2003868;16.3512118;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;64;;;Leopoldigasse;Domkapitel;Leopoldigasse 157
637;158;Spittelberg, Mariahilf;48.2002936;16.350925;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;;;;Leopoldigasse;Domkapitel;Leopoldigasse 158
