id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;Viertel;reference
30;An der Donau nächst der Franzensbrücke 13;13;101;;;An der Donau nächst der Franzensbrücke;Magistrat der Stadt Wien;Weißgerber;48.21224;16.3915001;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
31;Armensündergassel 14;14;100;;;Armensündergassel;Magistrat der Stadt Wien;Weißgerber;48.2121819;16.3918705;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
32;Armensündergassel 15;15;99;;;Armensündergassel;Magistrat der Stadt Wien;Weißgerber;48.2120767;16.3923644;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
33;Hauptstraße 16;16;94;;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.212159;16.3923063;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
34;Hauptstraße 17;17;12;45;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2120791;16.3917362;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
35;Hauptstraße 18;18;13;44;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.212113;16.3912895;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
36;Hauptstraße 19;19;106;;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2121311;16.391077;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
37;Hauptstraße 20;20;105;;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2121565;16.3908555;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
38;Hauptstraße 21;21;14;43;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2122013;16.3905033;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
39;Hauptstraße 22;22;15;42;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2122751;16.3900984;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
40;Hauptstraße 23;23;16;41;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2123066;16.3896807;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
41;Hauptstraße 24;24;17;40;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2121747;16.3893612;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
42;Hauptstraße 25;25;18;20;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2123538;16.3890234;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
43;Hauptstraße 26;26;19;19;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2123199;16.3886857;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
44;Hauptstraße 27;27;20;18;;Hauptstraße;Stift Schotten;Weißgerber;48.2122606;16.388515;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
45;Hauptstraße 28;28;21;17;;Hauptstraße;"Erzbistum in Wien;Stift Schotten";Weißgerber;48.2122376;16.3884315;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
46;Hauptstraße 29;29;107;;;Hauptstraße;Erzbistum in Wien;Weißgerber;48.2121844;16.3882608;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
47;Hauptstraße 30;30;22;16;;Hauptstraße;Erzbistum in Wien;Weißgerber;48.2121202;16.3880774;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
48;Hauptstraße 32;32;24;14;;Hauptstraße;Stift Schotten;Weißgerber;48.2120307;16.3877778;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
