id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
507;Rofranogasse 32;32;26;244;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2070567;16.345394;Behsel Stadtplan, WStLA, P1: 295/12G
508;Zieglergasse 33;33;303;;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2065505;16.3451396;Behsel Stadtplan, WStLA, P1: 295/12G
509;Zieglergasse 34;34;304;;;Zieglergasse;Stift Schotten;Neubau;Neubau;48.2063537;16.3450755;Behsel Stadtplan, WStLA, P1: 295/12G
510;Neustiftgasse 35;35;52;41;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2057395;16.3450666;Behsel Stadtplan, WStLA, P1: 295/12G
511;Neustiftgasse 36;36;51;40;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2057229;16.3452712;Behsel Stadtplan, WStLA, P1: 295/12G
512;Neustiftgasse 37;37;50;39;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2057182;16.345426;Behsel Stadtplan, WStLA, P1: 295/12G
513;Neustiftgasse 38;38;49;38;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2057146;16.3455309;Behsel Stadtplan, WStLA, P1: 295/12G
514;Neustiftgasse 39;39;48;37;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2057004;16.3456999;Behsel Stadtplan, WStLA, P1: 295/12G
515;Neustiftgasse 40;40;47;36;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056921;16.3459027;Behsel Stadtplan, WStLA, P1: 295/12G
516;Neustiftgasse 41;41;46;35;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056838;16.3460771;Behsel Stadtplan, WStLA, P1: 295/12G
517;Neustiftgasse 42;42;45;34;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2056731;16.3464026;Behsel Stadtplan, WStLA, P1: 295/12G
518;Neustiftgasse 43;43;44;33;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.205653;16.3467922;Behsel Stadtplan, WStLA, P1: 295/12G
519;Neustiftgasse 44;44;43;255;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.205634;16.3470929;Behsel Stadtplan, WStLA, P1: 295/12G
520;Neustiftgasse 46;46;41;28;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.20557;16.3477973;Behsel Stadtplan, WStLA, P1: 295/12G
521;Neustiftgasse 47;47;40;27;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055522;16.3480197;Behsel Stadtplan, WStLA, P1: 295/12G
522;Neustiftgasse 48;48;39;26;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055392;16.3482082;Behsel Stadtplan, WStLA, P1: 295/12G
523;Neustiftgasse 45;45;42;32;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055996;16.3474789;Behsel Stadtplan, WStLA, P1: 295/12G
524;Neustiftgasse 308;308;;;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.205532;16.348395;Behsel Stadtplan, WStLA, P1: 295/12G
525;Neustiftgasse 50;50;37;24;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2055154;16.3485818;Behsel Stadtplan, WStLA, P1: 295/12G
526;Neustiftgasse 51;51;36;23;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054988;16.3487739;Behsel Stadtplan, WStLA, P1: 295/12G
527;Neustiftgasse 52;52;35;22;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054823;16.3489785;Behsel Stadtplan, WStLA, P1: 295/12G
528;Neustiftgasse 53;53;34;21;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054645;16.3491635;Behsel Stadtplan, WStLA, P1: 295/12G
529;Neustiftgasse 54;54;33;20;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054526;16.3493432;Behsel Stadtplan, WStLA, P1: 295/12G
530;Neustiftgasse 55;55;32;19;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054396;16.3495496;Behsel Stadtplan, WStLA, P1: 295/12G
531;Neustiftgasse 56;56;31;13;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2054206;16.3499658;Behsel Stadtplan, WStLA, P1: 295/12G
532;Neustiftgasse 57;57;30;14;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053744;16.3505262;Behsel Stadtplan, WStLA, P1: 295/12G
533;Neustiftgasse 58;58;29;15;;Neustiftgasse;Stift Schotten;Neubau;Neubau;48.2053388;16.3509941;Behsel Stadtplan, WStLA, P1: 295/12G
